metadataId,imageRef,name,curator,artist,prompt,description
1,1.jpg,Higher States of Being  - Vol 1 #001,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
2,2.jpg,Higher States of Being  - Vol 1 #002,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
3,3.jpg,Higher States of Being  - Vol 1 #003,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
4,4.jpg,Higher States of Being  - Vol 1 #004,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
5,5.jpg,Higher States of Being  - Vol 1 #005,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
6,6.jpg,Higher States of Being  - Vol 1 #006,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
7,7.jpg,Higher States of Being  - Vol 1 #007,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
8,8.jpg,Higher States of Being  - Vol 1 #008,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
9,9.jpg,Higher States of Being  - Vol 1 #009,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
10,10.jpg,Higher States of Being  - Vol 1 #010,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
11,11.jpg,Higher States of Being  - Vol 1 #011,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
12,12.jpg,Higher States of Being  - Vol 1 #012,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
13,13.jpg,Higher States of Being  - Vol 1 #013,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
14,14.jpg,Higher States of Being  - Vol 1 #014,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
15,15.jpg,Higher States of Being  - Vol 1 #015,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
16,16.jpg,Higher States of Being  - Vol 1 #016,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
17,17.jpg,Higher States of Being  - Vol 1 #017,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
18,18.jpg,Higher States of Being  - Vol 1 #018,Agrimony,Agrimony,"close up of a stylish astronaut wearing a space helmet and [clothing], half body shot, facing half left, gazing upwards wistfully, classical old masters oil painting aesthetic, vintage matte finish, dark background","Higher States of Being is an experiment in permissionless digital art collectivism. 
Each volume collects AI generations seeded by a specific curated prompt which is then tweaked and worked by the artist to build on and expand the Higher oeuvre. 
Competing Higher narratives ensure that only the best vibes will win the culture wars and thus expand the influence of higher.

To this end, generative AI will be the great equalizer - allowing anyone to participate in this grand experiment.
Higher is no one, higher is everyone.

We invite you to remix and build upon the original prompts, and to release your own collections.
We only ask that you donate a portion of your proceeds back to the Higher Collective"
